date,yield_2y,yield_5y,repo_rate,spread,mortgage_5y,lending_margin
2025-02-20,2.82,2.91,3.5,0.09,,
2025-02-21,2.73,2.8,3.49,0.07,,
2025-02-24,2.69,2.76,3.49,0.07,,
2025-02-25,2.64,2.69,3.49,0.05,,
2025-02-26,2.65,2.7,3.49,0.05,,
2025-02-27,2.63,2.67,3.49,0.04,,
2025-02-28,2.57,2.6,3.5,0.03,,
2025-03-03,2.46,2.5,3.51,0.04,,
2025-03-04,2.46,2.53,3.53,0.07,,
2025-03-05,2.54,2.62,3.52,0.08,,
2025-03-06,2.63,2.72,3.52,0.09,,
2025-03-07,2.59,2.69,3.5,0.1,,
2025-03-10,2.53,2.63,3.51,0.1,,
2025-03-11,2.53,2.64,3.51,0.11,,
2025-03-12,2.58,2.71,3.55,0.13,,
2025-03-13,2.56,2.67,3.28,0.11,,
2025-03-14,2.57,2.72,3.27,0.15,,
2025-03-17,2.55,2.69,3.28,0.14,,
2025-03-18,2.54,2.69,3.27,0.15,,
2025-03-19,2.51,2.66,3.26,0.15,,
2025-03-20,2.53,2.66,3.26,0.13,,
2025-03-21,2.51,2.66,3.25,0.15,,
2025-03-24,2.54,2.7,3.25,0.16,,
2025-03-25,2.56,2.72,3.25,0.16,,
2025-03-26,2.61,2.76,3.26,0.15,,
2025-03-27,2.55,2.72,3.27,0.17,,
2025-03-28,2.49,2.66,3.27,0.17,,
2025-03-31,2.46,2.61,3.27,0.15,,
2025-04-01,2.43,2.57,3.27,0.14,,
2025-04-02,2.44,2.58,3.28,0.14,,
2025-04-03,2.4,2.55,3.27,0.15,,
2025-04-04,2.37,2.52,3.27,0.15,,
2025-04-07,2.46,2.64,3.26,0.18,,
2025-04-08,2.45,2.67,3.25,0.22,,
2025-04-09,2.62,2.8,3.25,0.18,,
2025-04-10,2.62,2.81,3.26,0.19,,
2025-04-11,2.68,2.87,3.27,0.19,,
2025-04-14,2.58,2.74,3.25,0.16,,
2025-04-15,2.53,2.72,3.26,0.19,,
2025-04-16,2.52,2.7,3.26,0.18,,
2025-04-17,2.52,2.73,3.26,0.21,,
2025-04-21,2.55,2.79,3.25,0.24,,
2025-04-22,2.54,2.76,3.25,0.22,,
2025-04-23,2.62,2.84,3.26,0.22,,
2025-04-24,2.59,2.79,3.25,0.2,,
2025-04-25,2.59,2.78,3.25,0.19,,
2025-04-28,2.56,2.76,3.25,0.2,,
2025-04-29,2.54,2.73,3.25,0.19,,
2025-04-30,2.47,2.67,3.27,0.2,,
2025-05-01,2.5,2.7,3.25,0.2,,
2025-05-02,2.54,2.77,3.25,0.23,,
2025-05-05,2.55,2.77,3.25,0.22,,
2025-05-06,2.53,2.75,3.25,0.22,,
2025-05-07,2.51,2.7,3.25,0.19,,
2025-05-08,2.58,2.81,3.25,0.23,,
2025-05-09,2.52,2.75,3.25,0.23,,
2025-05-12,2.59,2.8,3.25,0.21,,
2025-05-13,2.59,2.81,3.25,0.22,,
2025-05-14,2.59,2.84,3.24,0.25,,
2025-05-15,2.53,2.76,3.24,0.23,,
2025-05-16,2.53,2.77,3.26,0.24,,
2025-05-20,2.63,2.88,3.25,0.25,,
2025-05-21,2.7,2.97,3.27,0.27,,
2025-05-22,2.7,2.96,3.26,0.26,,
2025-05-23,2.69,2.93,3.26,0.24,,
2025-05-26,2.68,2.92,3.25,0.24,,
2025-05-27,2.64,2.87,3.25,0.23,,
2025-05-28,2.62,2.85,3.25,0.23,,
2025-05-29,2.6,2.82,3.25,0.22,,
2025-05-30,2.59,2.8,3.26,0.21,,
2025-06-02,2.58,2.82,3.28,0.24,,
2025-06-03,2.61,2.86,3.26,0.25,,
2025-06-04,2.59,2.84,3.26,0.25,,
2025-06-05,2.62,2.86,3.26,0.24,,
2025-06-06,2.69,2.96,3.25,0.27,,
2025-06-09,2.7,2.96,3.25,0.26,,
2025-06-10,2.69,2.94,3.25,0.25,,
2025-06-11,2.67,2.93,3.25,0.26,,
2025-06-12,2.68,2.92,3.25,0.24,,
2025-06-13,2.71,2.96,3.25,0.25,,
2025-06-16,2.72,2.99,3.25,0.27,,
2025-06-17,2.7,2.96,3.25,0.26,,
2025-06-18,2.68,2.93,3.25,0.25,,
2025-06-19,2.68,2.92,3.25,0.24,,
2025-06-20,2.64,2.89,3.25,0.25,,
2025-06-23,2.61,2.85,3.25,0.24,,
2025-06-24,2.61,2.85,3.25,0.24,,
2025-06-25,2.65,2.9,3.25,0.25,,
2025-06-26,2.62,2.87,3.25,0.25,,
2025-06-27,2.6,2.86,3.25,0.26,,
2025-06-30,2.59,2.83,3.25,0.24,,
2025-07-02,2.66,2.91,3.25,0.25,,
2025-07-03,2.69,2.94,3.25,0.25,,
2025-07-04,2.67,2.91,3.25,0.24,,
2025-07-07,2.69,2.94,3.25,0.25,,
2025-07-08,2.7,2.96,3.25,0.26,,
2025-07-09,2.66,2.92,3.25,0.26,,
2025-07-10,2.69,2.95,3.25,0.26,,
2025-07-11,2.74,3.03,3.25,0.29,,
2025-07-14,2.76,3.04,3.25,0.28,,
2025-07-15,2.83,3.13,3.26,0.3,,
2025-07-16,2.81,3.1,3.26,0.29,,
2025-07-17,2.81,3.1,3.26,0.29,,
2025-07-18,2.82,3.1,3.26,0.28,,
2025-07-21,2.79,3.06,3.26,0.27,,
2025-07-22,2.78,3.04,3.25,0.26,,
2025-07-23,2.82,3.1,3.25,0.28,,
2025-07-24,2.83,3.1,3.25,0.27,,
2025-07-25,2.81,3.07,3.25,0.26,,
2025-07-28,2.81,3.07,3.25,0.26,,
2025-07-29,2.77,3.03,3.26,0.26,,
2025-07-30,2.79,3.05,3.27,0.26,,
2025-07-31,2.76,3.01,3.26,0.25,,
2025-08-01,2.69,2.94,3.26,0.25,,
2025-08-05,2.69,2.94,3.25,0.25,,
2025-08-06,2.69,2.94,3.25,0.25,,
2025-08-07,2.69,2.94,3.26,0.25,,
2025-08-08,2.66,2.92,3.26,0.26,,
2025-08-11,2.68,2.93,3.26,0.25,,
2025-08-12,2.7,2.96,3.27,0.26,,
2025-08-13,2.68,2.93,3.26,0.25,,
2025-08-14,2.69,2.94,3.26,0.25,,
2025-08-15,2.72,2.98,3.27,0.26,,
2025-08-18,2.74,3.01,3.27,0.27,,
2025-08-19,2.7,2.96,3.26,0.26,,
2025-08-20,2.69,2.96,3.26,0.27,,
2025-08-21,2.73,2.99,3.26,0.26,,
2025-08-22,2.69,2.94,3.27,0.25,,
2025-08-25,2.72,2.98,3.27,0.26,,
2025-08-26,2.69,2.95,3.27,0.26,,
2025-08-27,2.69,2.95,3.26,0.26,,
2025-08-28,2.69,2.94,3.26,0.25,,
2025-08-29,2.64,2.88,3.27,0.24,,
2025-09-02,2.66,2.92,3.3,0.26,,
2025-09-03,2.62,2.87,3.3,0.25,,
2025-09-04,2.62,2.9,3.29,0.28,,
2025-09-05,2.54,2.82,3.3,0.28,,
2025-09-08,2.5,2.77,3.3,0.27,,
2025-09-09,2.52,2.79,3.3,0.27,,
2025-09-10,2.5,2.75,3.31,0.25,,
2025-09-11,2.5,2.74,3.31,0.24,,
2025-09-12,2.5,2.75,3.29,0.25,,
2025-09-15,2.49,2.73,3.32,0.24,,
2025-09-16,2.46,2.71,3.32,0.25,,
2025-09-17,2.49,2.75,3.3,0.26,,
2025-09-18,2.48,2.74,3.05,0.26,,
2025-09-19,2.46,2.74,3.06,0.28,,
2025-09-22,2.45,2.73,3.05,0.28,,
2025-09-23,2.45,2.73,3.05,0.28,,
2025-09-24,2.45,2.73,3.05,0.28,,
2025-09-25,2.49,2.77,3.05,0.28,,
2025-09-26,2.5,2.78,3.06,0.28,,
2025-09-29,2.47,2.74,3.06,0.27,,
2025-10-01,2.46,2.73,3.06,0.27,,
2025-10-02,2.45,2.72,3.06,0.27,,
2025-10-03,2.45,2.73,3.06,0.28,,
2025-10-06,2.47,2.75,3.04,0.28,,
2025-10-07,2.45,2.73,3.03,0.28,,
2025-10-08,2.46,2.74,3.02,0.28,,
2025-10-09,2.47,2.76,3.02,0.29,,
2025-10-10,2.47,2.74,3.02,0.27,,
2025-10-14,2.43,2.71,3.02,0.28,,
2025-10-15,2.42,2.69,3.03,0.27,,
2025-10-16,2.38,2.65,3.03,0.27,,
2025-10-17,2.37,2.65,3.03,0.28,,
2025-10-20,2.36,2.62,3.02,0.26,,
2025-10-21,2.39,2.65,3.02,0.26,,
2025-10-22,2.38,2.64,3.02,0.26,,
2025-10-23,2.39,2.66,3.02,0.27,,
2025-10-24,2.37,2.65,3.01,0.28,,
2025-10-27,2.36,2.62,3.02,0.26,,
2025-10-28,2.36,2.62,3.02,0.26,,
2025-10-29,2.43,2.73,3.02,0.3,,
2025-10-30,2.42,2.71,2.78,0.29,,
2025-10-31,2.4,2.7,2.85,0.3,,
2025-11-03,2.42,2.72,2.85,0.3,,
2025-11-04,2.43,2.73,2.79,0.3,,
2025-11-05,2.42,2.73,2.77,0.31,,
2025-11-06,2.39,2.67,2.77,0.28,,
2025-11-07,2.44,2.74,2.77,0.3,,
2025-11-10,2.45,2.75,2.77,0.3,,
2025-11-12,2.45,2.74,2.77,0.29,,
2025-11-13,2.47,2.77,2.76,0.3,,
2025-11-14,2.48,2.8,2.75,0.32,,
2025-11-17,2.49,2.81,2.76,0.32,,
2025-11-18,2.49,2.82,2.75,0.33,,
2025-11-19,2.49,2.82,2.75,0.33,,
2025-11-20,2.47,2.8,2.75,0.33,,
2025-11-21,2.44,2.77,2.74,0.33,,
2025-11-24,2.43,2.76,2.74,0.33,,
2025-11-25,2.4,2.73,2.74,0.33,,
2025-11-26,2.4,2.72,2.74,0.32,,
2025-11-27,2.4,2.71,2.74,0.31,,
2025-11-28,2.41,2.72,2.75,0.31,,
2025-12-01,2.48,2.81,2.75,0.33,,
2025-12-02,2.46,2.81,2.74,0.35,,
2025-12-03,2.43,2.77,2.74,0.34,,
2025-12-04,2.46,2.81,2.75,0.35,,
2025-12-05,2.64,3.01,2.75,0.37,,
2025-12-08,2.64,3.01,2.75,0.37,,
2025-12-09,2.69,3.07,2.75,0.38,,
2025-12-10,2.63,3.01,2.75,0.38,,
2025-12-11,2.62,3.0,2.75,0.38,,
2025-12-12,2.62,3.01,2.76,0.39,,
2025-12-15,2.58,2.98,2.76,0.4,,
2025-12-16,2.58,2.96,2.76,0.38,,
2025-12-17,2.6,2.98,2.76,0.38,,
2025-12-18,2.59,2.96,2.77,0.37,,
2025-12-19,2.61,2.99,2.77,0.38,,
2025-12-22,2.6,2.98,2.78,0.38,,
2025-12-23,2.57,2.94,2.8,0.37,,
2025-12-24,2.57,2.93,2.8,0.36,,
2025-12-29,2.56,2.92,2.8,0.36,,
2025-12-30,2.58,2.95,2.79,0.37,,
2025-12-31,2.58,2.96,2.8,0.38,,
2026-01-02,2.61,3.0,2.79,0.39,,
2026-01-05,2.57,2.94,2.78,0.37,,
2026-01-06,2.59,2.96,2.78,0.37,,
2026-01-07,2.56,2.93,2.75,0.37,,
2026-01-08,2.57,2.94,2.75,0.37,,
2026-01-09,2.55,2.92,2.75,0.37,,
2026-01-12,2.56,2.93,2.75,0.37,,
2026-01-13,2.55,2.93,2.75,0.38,,
2026-01-14,2.53,2.9,2.75,0.37,,
2026-01-15,2.53,2.89,2.77,0.36,,
2026-01-16,2.54,2.92,2.78,0.38,,
2026-01-19,2.54,2.91,2.77,0.37,,
2026-01-20,2.55,2.94,2.75,0.39,,
2026-01-21,2.56,2.95,2.75,0.39,,
2026-01-22,2.56,2.94,2.75,0.38,,
2026-01-23,2.6,2.95,2.76,0.35,,
2026-01-26,2.57,2.91,2.76,0.34,,
2026-01-27,2.58,2.94,2.77,0.36,,
2026-01-28,2.58,2.94,2.77,0.36,,
2026-01-29,2.57,2.93,2.77,0.36,,
2026-01-30,2.56,2.93,2.8,0.37,,
2026-02-02,2.57,2.94,2.78,0.37,,
2026-02-03,2.58,2.95,2.78,0.37,,
2026-02-04,2.58,2.94,2.79,0.36,,
2026-02-05,2.55,2.91,2.79,0.36,,
2026-02-06,2.55,2.91,2.79,0.36,,
2026-02-09,2.54,2.9,2.79,0.36,,
2026-02-10,2.53,2.89,2.79,0.36,,
2026-02-11,2.52,2.87,2.79,0.35,,
2026-02-12,2.49,2.82,2.77,0.33,,
2026-02-13,2.47,2.79,2.75,0.32,,
2026-02-17,2.45,2.76,2.75,0.31,,
2026-02-18,2.44,2.76,2.75,0.32,,
2026-02-19,2.44,2.75,2.75,0.31,,
2026-02-20,2.44,2.74,2.76,0.3,,
2026-02-23,2.43,2.72,2.76,0.29,,
2026-02-24,2.44,2.72,2.77,0.28,,
2026-02-25,2.46,2.74,2.78,0.28,,
2026-02-26,2.43,2.71,2.78,0.28,,
2026-02-27,2.39,2.67,2.79,0.28,,
2026-03-02,2.49,2.76,2.79,0.27,,
2026-03-03,2.51,2.79,2.8,0.28,,
2026-03-04,2.52,2.81,2.78,0.29,,
2026-03-05,2.58,2.89,2.77,0.31,,
2026-03-06,2.63,2.95,2.76,0.32,3.94,0.99
2026-03-09,2.63,2.91,2.76,0.28,3.94,1.03
2026-03-10,2.65,2.95,2.76,0.3,3.94,0.99
2026-03-11,2.72,3.03,2.76,0.31,3.94,0.91
2026-03-12,2.82,3.09,2.76,0.27,3.94,0.85
2026-03-13,2.79,3.07,2.76,0.28,3.94,0.87
2026-03-16,2.71,2.99,2.76,0.28,3.94,0.95
2026-03-17,2.67,2.95,2.78,0.28,3.94,0.99
2026-03-18,2.75,3.01,2.79,0.26,3.94,0.93
2026-03-19,2.84,3.05,2.79,0.21,3.94,0.89
2026-03-20,3.07,3.23,2.8,0.16,3.94,0.74
2026-03-23,2.95,3.17,2.79,0.22,3.94,0.8
2026-03-24,2.99,3.23,2.8,0.24,3.94,0.74
2026-03-25,2.89,3.12,2.83,0.23,4.04,0.95
2026-03-26,2.98,3.22,2.82,0.24,4.04,0.85
2026-03-27,2.95,3.21,2.79,0.26,4.04,0.86
2026-03-30,2.88,3.14,2.77,0.26,4.04,0.93
2026-03-31,2.82,3.09,2.77,0.27,4.04,0.99
2026-04-01,2.82,3.11,2.77,0.29,4.04,0.96
2026-04-02,2.82,3.1,2.77,0.28,4.04,0.94
2026-04-06,2.83,3.09,2.76,0.26,4.04,0.95
2026-04-07,2.86,3.12,2.76,0.26,4.04,0.92
2026-04-08,2.79,3.06,2.76,0.27,4.04,0.98
2026-04-09,2.79,3.07,2.77,0.28,4.04,0.97
2026-04-10,2.78,3.08,2.8,0.3,4.04,0.96
2026-04-13,2.79,3.07,2.8,0.28,4.04,0.97
2026-04-14,2.76,3.04,2.8,0.28,4.04,1.0
2026-04-15,2.79,3.08,2.83,0.29,4.04,0.96
2026-04-16,2.8,3.1,2.81,0.3,4.04,0.94
2026-04-17,2.77,3.04,2.8,0.27,4.04,1.0
2026-04-20,2.76,3.04,2.78,0.28,4.04,1.0
2026-04-21,2.84,3.1,2.78,0.26,4.04,0.94
2026-04-22,2.83,3.1,2.8,0.27,4.04,0.94
2026-04-23,2.85,3.11,2.8,0.26,4.04,0.93
2026-04-24,2.82,3.07,2.83,0.25,4.04,0.97
2026-04-27,2.83,3.11,2.82,0.28,4.04,0.93
2026-04-28,2.88,3.14,2.8,0.26,4.04,0.9
2026-04-29,3.03,3.26,2.8,0.23,4.04,0.78
2026-04-30,2.96,3.2,2.8,0.24,4.04,0.84
2026-05-01,2.94,3.18,2.78,0.24,4.04,0.86
2026-05-04,3.05,3.27,2.8,0.22,4.09,0.82
2026-05-05,3.01,3.26,2.78,0.25,4.09,0.83
2026-05-06,2.91,3.15,2.78,0.24,4.04,0.89
2026-05-07,2.94,3.18,2.77,0.24,4.04,0.86
2026-05-08,2.86,3.12,2.76,0.26,4.04,0.92
2026-05-11,2.93,3.19,2.75,0.26,4.04,0.85
2026-05-12,2.97,3.24,2.75,0.27,4.04,0.8
2026-05-13,2.96,3.23,2.75,0.27,4.04,0.81
2026-05-14,2.96,3.22,2.75,0.26,4.04,0.82
2026-05-15,3.07,3.36,2.75,0.29,4.04,0.68
2026-05-19,3.04,3.35,2.75,0.31,4.09,0.74
2026-05-20,2.93,3.23,2.76,0.3,4.09,0.86
2026-05-21,2.91,3.19,2.76,0.28,4.09,0.9
2026-05-22,2.92,3.2,2.76,0.28,4.09,0.89
2026-05-25,2.84,3.11,2.77,0.27,4.09,0.98
2026-05-26,2.84,3.12,2.77,0.28,4.09,0.97
2026-05-27,2.86,3.14,2.75,0.28,4.09,0.95
2026-05-28,2.84,3.1,2.75,0.26,4.09,0.99
2026-05-29,2.77,3.05,2.75,0.28,4.09,1.04
2026-06-01,2.81,3.08,2.76,0.27,4.09,1.01
2026-06-02,2.8,3.07,2.76,0.27,4.09,1.02
2026-06-03,2.81,3.08,2.78,0.27,4.04,0.96
2026-06-04,2.8,3.08,2.76,0.28,4.04,0.96
2026-06-05,2.87,3.14,2.76,0.27,4.04,0.9
2026-06-08,2.87,3.18,2.76,0.31,4.04,0.86
2026-06-09,2.85,3.15,2.76,0.3,4.04,0.89
2026-06-10,2.83,3.13,2.75,0.3,4.04,0.91
2026-06-11,2.77,3.05,2.77,0.28,4.04,0.99
2026-06-12,2.76,3.04,2.77,0.28,4.04,1.0
2026-06-15,2.76,3.04,2.77,0.28,4.04,1.0
2026-06-16,2.75,3.03,2.78,0.28,4.04,1.01
2026-06-17,2.82,3.08,2.79,0.26,4.04,0.96
2026-06-18,2.78,3.04,2.8,0.26,4.04,1.0
2026-06-19,2.78,3.04,2.83,0.26,4.04,1.0
2026-06-22,2.81,3.09,2.8,0.28,4.04,0.95
2026-06-23,2.78,3.06,2.8,0.28,4.04,0.98
2026-06-24,2.73,2.99,2.8,0.26,4.04,1.05
2026-06-25,2.75,3.02,2.81,0.27,4.04,1.02
2026-06-26,2.75,3.02,2.82,0.27,4.04,1.02
2026-06-29,2.73,3.0,2.81,0.27,4.04,1.04
2026-06-30,2.74,3.01,2.84,0.27,4.04,1.03
2026-07-02,2.76,3.06,2.8,0.3,4.04,0.98
2026-07-03,2.75,3.06,2.81,0.31,4.04,0.98
2026-07-06,2.72,3.03,2.81,0.31,3.94,0.91
2026-07-07,2.8,3.11,2.78,0.31,3.94,0.83
